Element,Shell Angular Momentum,Exponents,Coefficients
25,0,"3.960805E+06, 5.931155E+05, 1.349768E+05, 3.823067E+04, 1.247154E+04, 4.501743E+03, 1.755212E+03, 7.273039E+02, 3.163678E+02, 1.430098E+02, 6.621805E+01, 2.991896E+01, 1.430318E+01, 6.839451E+00, 3.012374E+00, 1.418808E+00, 6.236240E-01, 1.340980E-01, 6.554800E-02, 2.958400E-02","8.242127E-06, 6.408587E-05, 3.369253E-04, 1.420648E-03, 5.143683E-03, 1.648569E-02, 4.698560E-02, 1.162437E-01, 2.335277E-01, 3.292837E-01, 2.440304E-01, 7.219806E-02, 7.687806E-02, 7.852235E-02, 1.294109E-02, -3.784873E-04, -2.503203E-05, -2.421517E-05, 3.462071E-05, 4.261482E-07"
25,1,"1.620586E+04, 3.836274E+03, 1.246048E+03, 4.767535E+02, 2.021895E+02, 9.209487E+01, 4.414720E+01, 2.185468E+01, 1.108596E+01, 5.674108E+00, 2.823170E+00, 1.368621E+00, 6.444310E-01, 2.483820E-01, 9.725500E-02, 3.663300E-02","4.200000E-05, 3.730000E-04, 2.149000E-03, 9.445000E-03, 3.329700E-02, 9.475900E-02, 2.081440E-01, 3.318050E-01, 3.331750E-01, 1.576010E-01, 2.144500E-02, -2.558000E-03, -2.027000E-03, -3.600000E-04, 3.400000E-05, -1.300000E-05"
25,2,"1.006630E+02, 2.983360E+01, 1.088940E+01, 4.393580E+00, 1.817820E+00, 7.278270E-01, 2.712950E-01, 8.830900E-02","3.579000E-03, 2.582700E-02, 9.855900E-02, 2.383270E-01, 3.587070E-01, 3.650920E-01, 2.337380E-01, 5.661800E-02"
25,3,"2.738200E+00, 6.543000E-01","1.000000E+00, 0.000000E+00"
25,4,1.733500E+00,1.0000000
26,0,"4.316265E+06, 6.463424E+05, 1.470897E+05, 4.166152E+04, 1.359077E+04, 4.905750E+03, 1.912746E+03, 7.926043E+02, 3.448065E+02, 1.558999E+02, 7.223091E+01, 3.272506E+01, 1.566762E+01, 7.503483E+00, 3.312223E+00, 1.558471E+00, 6.839140E-01, 1.467570E-01, 7.058300E-02, 3.144900E-02","8.048803E-06, 6.258306E-05, 3.290239E-04, 1.387355E-03, 5.023256E-03, 1.610140E-02, 4.590034E-02, 1.136154E-01, 2.283869E-01, 3.221159E-01, 2.383661E-01, 7.404667E-02, 9.214197E-02, 9.339790E-02, 1.573965E-02, -4.186682E-04, 5.376318E-05, -3.816654E-05, 4.319603E-05, -3.401019E-06"
26,1,"1.774569E+04, 4.200721E+03, 1.364429E+03, 5.220806E+02, 2.214595E+02, 1.009096E+02, 4.840115E+01, 2.398536E+01, 1.218250E+01, 6.242298E+00, 3.110944E+00, 1.509958E+00, 7.108450E-01, 2.731900E-01, 1.042330E-01, 3.829100E-02","4.100000E-05, 3.690000E-04, 2.129000E-03, 9.369000E-03, 3.309700E-02, 9.443100E-02, 2.080770E-01, 3.323330E-01, 3.329870E-01, 1.568430E-01, 2.154900E-02, -2.095000E-03, -1.739000E-03, -3.000000E-04, 2.900000E-05, -1.100000E-05"
26,2,"1.133440E+02, 3.364140E+01, 1.233100E+01, 4.994780E+00, 2.072800E+00, 8.307530E-01, 3.091780E-01, 1.001300E-01","3.530000E-03, 2.578400E-02, 9.911900E-02, 2.390730E-01, 3.571990E-01, 3.621880E-01, 2.364610E-01, 6.011800E-02"
26,3,"3.275800E+00, 7.920000E-01","1.000000E+00, 0.000000E+00"
26,4,2.089700E+00,1.0000000
27,0,"4.675675E+06, 7.001615E+05, 1.593373E+05, 4.513046E+04, 1.472238E+04, 5.314222E+03, 2.072018E+03, 8.586188E+02, 3.735497E+02, 1.689229E+02, 7.829639E+01, 3.552123E+01, 1.704144E+01, 8.173000E+00, 3.610318E+00, 1.697047E+00, 7.435320E-01, 1.583440E-01, 7.503600E-02, 3.309100E-02","7.979026E-06, 6.204071E-05, 3.261735E-04, 1.375360E-03, 4.979997E-03, 1.596434E-02, 4.552086E-02, 1.127385E-01, 2.268262E-01, 3.203074E-01, 2.374021E-01, 7.477686E-02, 9.581872E-02, 9.649911E-02, 1.623362E-02, -4.535497E-04, 5.113519E-05, -4.174508E-05, 4.027577E-05, -5.789067E-06"
27,1,"1.926778E+04, 4.560986E+03, 1.481436E+03, 5.668671E+02, 2.404910E+02, 1.096105E+02, 5.259491E+01, 2.608361E+01, 1.326143E+01, 6.799778E+00, 3.393414E+00, 1.648766E+00, 7.762820E-01, 2.980030E-01, 1.136180E-01, 4.162400E-02","4.100000E-05, 3.690000E-04, 2.128000E-03, 9.372000E-03, 3.315500E-02, 9.475200E-02, 2.090930E-01, 3.337220E-01, 3.322080E-01, 1.546130E-01, 2.090200E-02, -2.024000E-03, -1.697000E-03, -2.800000E-04, 2.600000E-05, -1.000000E-05"
27,2,"1.262640E+02, 3.752260E+01, 1.380210E+01, 5.609270E+00, 2.333690E+00, 9.364150E-01, 3.482370E-01, 1.123530E-01","3.510000E-03, 2.588400E-02, 1.000580E-01, 2.405470E-01, 3.568430E-01, 3.595790E-01, 2.366290E-01, 6.212900E-02"
